observed_scientific_name,valid_scientific_name,vernacular_en
Calliergon giganteum,Calliergon giganteum,giant calliergon moss
Peltigera scabrosa,Peltigera scabrosa,NULL
Dicranum scoparium,Dicranum scoparium,NULL
Cladonia wainioi,Cladonia wainioi,NULL
Cetrariella delisei,Cetrariella delisei,NULL
Salix pellita,Salix pellita,NULL
Stereocaulon tomentosum,Stereocaulon tomentosum,NULL
Rubus pubescens,Rubus pubescens,dwarf raspberry
Drepanocladus aduncus,Drepanocladus aduncus,NULL
Eriophorum brachyantherum,Eriophorum brachyantherum,closed-sheathed cottongrass
Calamagrostis stricta inexpansa,Calamagrostis stricta inexpansa,northern reedgrass
Ranunculus flammula reptans,Ranunculus flammula reptans,lesser spearwort
Juncus alpinoarticulatus,Juncus alpinoarticulatus,alpine rush
Equisetum palustre,Equisetum palustre,marsh horsetail
Hippuris lanceolata,Hippuris lanceolata,lance-leaved mare's-tail
Triglochin palustris,Triglochin palustris,marsh arrowgrass
Blepharostoma trichophyllum,Blepharostoma trichophyllum,NULL
Conocephalum salebrosum,Conocephalum salebrosum,NULL
Sagina nodosa borealis,Sagina nodosa borealis,northern knotted pearlwort
Primula mistassinica,Primula mistassinica,mistassini primrose
Preissia quadrata,Marchantia quadrata,NULL
Primula laurentiana,Primula laurentiana,laurentian primrose
Fissidens adianthoides,Fissidens adianthoides,NULL
Cornus sericea,Cornus sericea,red-osier dogwood
Salix ballii,Salix ballii,ball's willow
Erigeron elatus,Erigeron elatus,swamp fleabane
Cladonia stricta,Cladonia stricta,NULL
Ditrichum flexicaule,Ditrichum flexicaule,NULL
Diphasiastrum sitchense,Diphasiastrum sitchense,sitka ground-cedar
Cetraria islandica islandica,Cetraria islandica islandica,NULL
Pleuroclada albescens,Fuscocephaloziopsis albescens,NULL
Calliergon richardsonii,Calliergon richardsonii,richardson's calliergon moss
Polytrichum strictum,Polytrichum strictum,NULL
Cladonia coccifera,Cladonia coccifera,NULL
Saxifraga aizoides,Saxifraga aizoides,yellow mountain saxifrage
Kobresia simpliciuscula subholarctica,Kobresia simpliciuscula subholarctica,NULL
Luzula spicata,Luzula spicata,spiked woodrush
Pohlia wahlenbergii,Pohlia wahlenbergii,wahlenberg's pohlia moss
Cardamine nymanii,Cardamine nymanii,cuckoo flower
Cerastium cerastioides,Cerastium cerastoides,starwort chickweed
Cinclidium stygium,Cinclidium stygium,NULL
Utricularia minor,Utricularia minor,lesser bladderwort
Pyrola asarifolia,Pyrola asarifolia,pink pyrola
Dasiphora fruticosa floribunda,Dasiphora fruticosa,shrubby cinquefoil
Galium labradoricum,Galium labradoricum,labrador bedstraw
Platanthera huronensis,Platanthera huronensis,lake huron green orchid
Betula pumila,Betula pumila,bog birch
Utricularia ochroleuca,Utricularia ochroleuca,yellowish-white bladderwort
Primula egaliksensis,Primula egaliksensis,NULL
Micarea melaena,Micarea melaena,NULL
Ochrolechia upsaliensis,Ochrolechia upsaliensis,NULL
Sphagnum centrale,Sphagnum centrale,NULL
Parnassia palustris,Parnassia palustris,marsh grass-of-parnassus
Carex stylosa,Carex stylosa,long-styled sedge
Carex lachenalii,Carex lachenalii,lachenal's sedge
Solorina crocea,Solorina crocea,NULL
Oxyria digyna,Oxyria digyna,mountain-sorrel
Ranunculus pygmaeus,Ranunculus pygmaeus,pygmy buttercup
Antennaria monocephala angustata,Antennaria monocephala angustata,narrow-leaved pygmy pussytoes
Juncus biglumis,Juncus biglumis,two-glumed rush
Agrostis scabra,Agrostis scabra,rough bentgrass
Sphagnum jensenii,Sphagnum jensenii,jensen's sphagnum
Bromus ciliatus,Bromus ciliatus,fringed brome
Parnassia kotzebuei,Parnassia kotzebuei,kotzebue's grass-of-parnassus
Racomitrium sudeticum,Bucklandiella sudetica,NULL
Draba nivalis,Draba nivalis,snow draba
Potentilla nivea,Potentilla nivea,snow cinquefoil
Saxifraga paniculata,Saxifraga paniculata,white mountain saxifrage
Carex nardina,Carex nardina,nard sedge
Calamagrostis purpurascens,Calamagrostis purpurascens,purple reedgrass
Elymus violaceus,Elymus violaceus,high wildrye
Woodsia glabella,Woodsia glabella,smooth woodsia
Cladonia pocillum,Cladonia pocillum,NULL
Eleocharis quinqueflora,Eleocharis quinqueflora,few-flowered spikerush
Dicranum muehlenbeckii,Dicranum muehlenbeckii,muehlenbeck's dicranum moss
Gymnostomum aeruginosum,Gymnostomum aeruginosum,NULL
Hypnum recurvatum,Drepanium recurvatum,recurved hypnum moss
Tortella fragilis,Tortella fragilis,fragile tortella moss
Ochrolechia grimmiae,Ochrolechia grimmiae,NULL
Streptopus amplexifolius,Streptopus amplexifolius,clasping-leaved twisted-stalk
Cystopteris montana,Cystopteris montana,mountain bladder fern
Phegopteris connectilis,Phegopteris connectilis,northern beech fern
Carex diandra,Carex diandra,lesser panicled sedge
Muhlenbergia uniflora,Muhlenbergia uniflora,late-flowering muhly
Sphagnum annulatum,Sphagnum annulatum,NULL
Cladonia cyanipes,Cladonia cyanipes,NULL
Platanthera aquilonis,Platanthera aquilonis,tall northern green orchid
Danthonia intermedia,Danthonia intermedia,timber oatgrass
Sphagnum girgensohnii,Sphagnum girgensohnii,girgensohn's sphagnum
Cratoneuron filicinum,Cratoneuron filicinum,NULL
Catoscopium nigritum,Catoscopium nigritum,black golf club moss
Cladonia turgida,Cladonia turgida,NULL
Racomitrium canescens latifolium,Niphotrichum canescens latifolium,NULL
Tortella tortuosa,Tortella tortuosa,tortured tortella moss
Astragalus eucosmus,Astragalus eucosmus,elegant milk-vetch
Hedysarum americanum,Hedysarum alpinum,alpine hedysarum
Oxytropis deflexa foliolosa,Oxytropis deflexa foliolosa,foliose locoweed
Salix reticulata,Salix reticulata,net-veined willow
Equisetum scirpoides,Equisetum scirpoides,dwarf scouring-rush
Potentilla crantzii,Potentilla crantzii,NULL
Hypnum cupressiforme,Hypnum cupressiforme,NULL
Abietinella abietina,Abietinella abietina,NULL
Arctous rubra,Arctous rubra,red bearberry
Carex lapponica,Carex lapponica,lapland sedge
Potentilla bimundorum,Potentilla bimundorum,staghorn cinquefoil
Carex petricosa misandroides,Carex petricosa misandroides,man-hater sedge
Physconia muscigena,Physconia muscigena,NULL
Hypogymnia austerodes,Hypogymnia austerodes,NULL
Lecanora epibryon,Lecanora epibryon,NULL
Hypogymnia physodes,Hypogymnia physodes,NULL
Aspicilia cinerea,Aspicilia cinerea,NULL
Encalypta rhaptocarpa,Encalypta rhaptocarpa,yellow awn candle snuffer moss
Pertusaria,Pertusaria,NULL
Distichium,Distichium,NULL
Hypogymnia bitteri,Hypogymnia bitteri,NULL
Carex bigelowii,Carex bigelowii,bigelow's sedge
Cladonia maxima,Cladonia maxima,NULL
Cladonia bellidiflora,Cladonia bellidiflora,NULL
Cornus suecica,Cornus suecica,swedish bunchberry
Cladonia pleurota,Cladonia pleurota,NULL
Pseudocampylium radicale,Pseudocampylium radicale,NULL
Saxifraga hirculus,Saxifraga hirculus,yellow marsh saxifrage
Peltigera leucophlebia,Peltigera leucophlebia,NULL
Pertusaria oculata,Pertusaria oculata,NULL
Juncus arcticus,Juncus arcticus,arctic rush
Cladonia subfurcata,Cladonia subfurcata,NULL
Carex rotundata,Carex rotundata,round-fruited sedge
Polytrichum hyperboreum,Polytrichum hyperboreum,NULL
Tanacetum bipinnatum,Tanacetum bipinnatum,dwarf tansy
Leymus mollis,Leymus mollis,sea lymegrass
Carex aquatilis stans,Carex aquatilis minor,arctic water sedge
Peltigera malacea,Peltigera malacea,NULL
Stereocaulon grande,Stereocaulon grande,NULL
Silene involucrata,Silene involucrata,arctic catchfly
Saxifraga tricuspidata,Saxifraga tricuspidata,three-toothed saxifrage
Carex maritima,Carex maritima,seaside sedge
Cladonia pyxidata,Cladonia pyxidata,NULL
Cladonia macrophylla,Cladonia macrophylla,NULL
Anastrophyllum minutum,Sphenolobus minutus,NULL
Pinguicula villosa,Pinguicula villosa,hairy butterwort
Carex membranacea,Carex membranacea,fragile sedge
Marsupella arctica,Marsupella arctica,NULL
Sphagnum steerei,Sphagnum steerei,steere's sphagnum
Pogonatum dentatum,Pogonatum dentatum,toothed pogonatum moss
Bryum archangelicum,Ptychostomum archangelicum,archangel bryum moss
Cynodontium strumulosum,Cynodontium strumulosum,NULL
Koenigia islandica,Koenigia islandica,iceland purslane
Saxifraga cernua,Saxifraga cernua,nodding saxifrage
Carex myosuroides,Kobresia myosuroides,mouse-tail bog sedge
Dicranum condensatum,Dicranum condensatum,condensed dicranum moss
Schistidium rivulare,Schistidium rivulare,streamside schistidium moss
Cladonia decorticata,Cladonia decorticata,NULL
Primula stricta,Primula stricta,upright primrose
Bryum argenteum,Bryum argenteum,silvergreen bryum moss
Festuca rubra,Festuca rubra,red fescue
Andromeda polifolia,Andromeda polifolia,bog rosemary
Carex adelostoma,Carex adelostoma,circumpolar sedge
Bryum calophyllum,Ptychostomum calophyllum,NULL
Halerpestes cymbalaria,Halerpestes cymbalaria,seaside buttercup
Carex mackenziei,Carex mackenziei,mackenzie's sedge
Carex bicolor,Carex bicolor,two-coloured sedge
Carex krausei,Carex krausei,krause's sedge
Mnium thomsonii,Mnium thomsonii,thomson's calcareous moss
Myurella julacea,Myurella julacea,NULL
Cladonia gracilis elongata,Cladonia gracilis elongata,NULL
Cephaloziella grimsulana,Cephaloziella grimsulana,NULL
Ranunculus gmelinii,Ranunculus gmelinii,gmelin's buttercup
Eriophorum scheuchzeri,Eriophorum scheuchzeri,scheuchzer's cottongrass
Anastrophyllum helleranum,Crossocalyx hellerianus,heller's anastrophyllum
Platismatia norvegica,Platismatia norvegica,NULL
Melanelia stygia,Melanelia stygia,NULL
Parmelia squarrosa,Parmelia squarrosa,NULL
Arctoparmelia incurva,Arctoparmelia incurva,NULL
Cardamine bellidifolia,Cardamine bellidifolia,alpine bittercress
Salix candida,Salix candida,sage willow
Myurella sibirica,Myurella sibirica,siberian myurella moss
Rhabdoweisia crispata,Rhabdoweisia crispata,NULL
Potentilla litoralis,Potentilla litoralis,cinquefoil
Carex subspathacea,Carex subspathacea,NULL
Calamagrostis deschampsioides,Calamagrostis deschampsioides,circumpolar reedgrass
Barbilophozia kunzeana,Schljakovia kunzeana,NULL
Nardia geoscyphus,Nardia geoscyphus,NULL
Oxytropis campestris minor,Oxytropis campestris minor,tundra locoweed
Dicranella subulata,Dicranella subulata,NULL
Platismatia glauca,Platismatia glauca,NULL
Sphagnum concinnum,Sphagnum concinnum,NULL
Arctophila fulva,Arctophila fulva,pendant grass
Gymnomitrion corallioides,Gymnomitrion corallioides,NULL
Saxifraga oppositifolia,Saxifraga oppositifolia,purple mountain saxifrage
Bryum weigelii,Ptychostomum weigelii,weigel's bryum moss
Splachnum vasculosum,Splachnum vasculosum,splachnum dung moss
Rhizomnium punctatum,Rhizomnium punctatum,NULL
Draba alpina,Draba alpina,alpine draba
Coptidium lapponicum,Coptidium lapponicum,NULL
Polytrichastrum alpinum septentrionale,Polytrichastrum alpinum septentrionale,NULL
Scapania mucronata,Scapania mucronata,NULL
Dibaeis baeomyces,Dibaeis baeomyces,NULL
Scapania paludicola,Scapania paludicola,NULL
Erigeron humilis,Erigeron humilis,low fleabane
Cerastium alpinum,Cerastium alpinum,alpine chickweed
Rusavskia elegans,Xanthoria elegans,NULL
Poa arctica,Poa arctica,arctic bluegrass
Peltigera didactyla,Peltigera didactyla,NULL
Dicranum brevifolium,Dicranum brevifolium,shortleaf dicranum moss
Polytrichum jensenii,Polytrichum jensenii,NULL
Barbilophozia attenuata,Neoorthocaulis attenuatus,attenuate barbilophozia
Racomitrium fasciculare,Codriophorus fascicularis,NULL
Cladonia cenotea,Cladonia cenotea,NULL
Cetrariella fastigiata,Cetrariella fastigiata,NULL
Cerastium arcticum,Cerastium arcticum,arctic chickweed
Eriophorum callitrix,Eriophorum callitrix,arctic cottongrass
Carex fuliginosa,Carex fuliginosa,short-leaved sedge
Brachythecium turgidum,Brachythecium turgidum,turgid brachythecium moss
Nephroma expallidum,Nephroma expallidum,NULL
Sphagnum obtusum,Sphagnum obtusum,NULL
Eriophorum russeolum albidum,Eriophorum russeolum leiocarpum,NULL
Luzula wahlenbergii,Luzula wahlenbergii,wahlenberg's woodrush
Pohlia bulbifera,Pohlia bulbifera,NULL
Rhizomnium gracile,Rhizomnium gracile,NULL
Warnstorfia pseudostraminea,Warnstorfia pseudostraminea,NULL
Puccinellia phryganodes,Puccinellia phryganodes,NULL
Calliergon cordifolium,Calliergon cordifolium,NULL
Fontinalis dalecarlica,Fontinalis dalecarlica,NULL
Plagiomnium cuspidatum,Plagiomnium cuspidatum,toothed plagiomnium moss
Galium trifidum,Galium trifidum,three-petalled bedstraw
Pellia neesiana,Pellia neesiana,NULL
Sphagnum tundrae,Sphagnum tundrae,NULL
Thamnolia subuliformis,Thamnolia subuliformis,NULL
Argentina egedii groenlandica,Potentilla anserina groenlandica,pacific silverweed
Carex marina,Carex marina,sea sedge
Cephaloziella byssacea,Cephaloziella hampeana,NULL
Carex williamsii,Carex williamsii,williams' sedge
Huperzia arctica,Huperzia arctica,firmoss
Distichium capillaceum,Distichium capillaceum,NULL
Nephroma bellum,Nephroma bellum,NULL
Sticta arctica,Sticta arctica,NULL
Bryum salinum,Ptychostomum salinum,NULL
Stellaria humifusa,Stellaria humifusa,saltmarsh starwort
Plantago maritima,Plantago maritima,seaside plantain
Carex atrofusca,Carex atrofusca,dark-brown sedge
Hedysarum boreale mackenziei,Hedysarum boreale mackenziei,mackenzie's hedysarum
Pedicularis lanata,Pedicularis lanata,woolly lousewort
Carex concinna,Carex concinna,northern elegant sedge
Dicranoweisia crispula,Dicranoweisia crispula,NULL
Peltigera membranacea,Peltigera membranacea,NULL
Cladonia ecmocyna,Cladonia ecmocyna,NULL
Bryum pseudotriquetrum,Ptychostomum pseudotriquetrum,common green bryum moss
Potentilla anserina egedii,Potentilla anserina egedii,NULL
Eutrema edwardsii,Eutrema edwardsii,edwards' mock wallflower
Oxytropis podocarpa,Oxytropis podocarpa,inflated locoweed
Carex holostoma,Carex holostoma,arctic marsh sedge
Lophozia schusteriana,Lophozia schusteriana,NULL
Barbilophozia sudetica,Barbilophozia sudetica,NULL
Pseudocalliergon trifarium,Pseudocalliergon trifarium,NULL
Juncus subtilis,Juncus subtilis,creeping rush
Hypnum vaucheri,Buckia vaucheri,vaucher's hypnum moss
Luzula nivalis,Luzula nivalis,woodrush
Comastoma tenellum,Comastoma tenellum,slender gentian
Peltigera ponojensis,Peltigera ponojensis,NULL
Dactylina ramulosa,Dactylina ramulosa,NULL
Solorina saccata,Solorina saccata,NULL
Anastrophyllum cavifolium,Orthocaulis cavifolius,NULL
Carex scirpoidea,Carex scirpoidea,single-spike sedge
Luzula multiflora,Luzula multiflora,many-flowered woodrush
Sphagnum olafii,Sphagnum olafii,NULL
Carex ursina,Carex ursina,bear sedge
Leptodictyum riparium,Leptodictyum riparium,NULL
Anthelia julacea,Anthelia julacea,NULL
Pedicularis hirsuta,Pedicularis hirsuta,hairy lousewort
Pilophorus robustus,Pilophorus robustus,NULL
Pseudephebe minuscula,Pseudephebe minuscula,NULL
Eriophorum angustifolium,Eriophorum angustifolium,narrow-leaved cottongrass
Festuca brachyphylla,Festuca brachyphylla,short-leaved fescue
Cherleria biflora,Cherleria biflora,mountain stitchwort
Sphagnum arcticum,Sphagnum arcticum,arctic sphagnum
Drepanocladus polygamus,Drepanocladus polygamus,NULL
Eriophorum vaginatum,Eriophorum vaginatum,tussock cottongrass
Sagina nivalis,Sagina nivalis,snow pearlwort
Rhododendron canadense,Rhododendron canadense,NULL
Oxytropis campestris johannensis,Oxytropis campestris johannensis,saint john river locoweed
Saxifraga rivularis,Saxifraga rivularis,alpine brook saxifrage
Carex glareosa,Carex glareosa,gravel sedge
Cochlearia groenlandica,Cochlearia groenlandica,greenland scurvygrass
Bryoerythrophyllum recurvirostrum,Bryoerythrophyllum recurvirostrum,NULL
Saxifraga hyperborea,Saxifraga hyperborea,pygmy saxifrage
Micranthes foliolosa,Micranthes foliolosa,leafy-stemmed saxifrage
Minuartia rossii,Minuartia rossii,NULL
Phippsia algida,Phippsia algida,icegrass
Bartramia ithyphylla,Bartramia ithyphylla,NULL
Alectoria vexillifera,Alectoria sarmentosa vexillifera,NULL
Arabis alpina,Arabis alpina,alpine rockcress
Cerastium arvense,Cerastium arvense,field chickweed
Cladonia trassii,Cladonia trassii,NULL
Viola,Viola,violet
Utricularia,Utricularia,bladderwort
Stereocaulon condensatum,Stereocaulon condensatum,NULL
Umbilicaria,Umbilicaria,NULL
Bryum,Bryum,NULL
Lichenomphalia hudsoniana,Lichenomphalia hudsoniana,NULL
Cephalozia,Cephalozia,NULL
Cephaloziella divaricata,Cephaloziella divaricata,NULL
Lecanora,Lecanora,NULL
Thamnolia,Thamnolia,NULL
Bryoria,Bryoria,NULL
Sphagnum lescurii,Sphagnum lescurii,lescur's sphagnum
Stellaria,Stellaria,starwort
Cladina,Cladina,NULL
Siphula ceratites,Siphula ceratites,NULL
Isopterygium,Isopterygium,NULL
Cetraria,Cetraria,NULL
Peltigera,Peltigera,NULL
Pedicularis,Pedicularis,lousewort
Agrostis,Agrostis,bentgrass
Eriophorum,Eriophorum,cottongrass
Poa,Poa,bluegrass
Micarea,Micarea,NULL
Oxytropis,Oxytropis,locoweed
Jungermannia,Jungermannia,NULL
Scapania,Scapania,NULL
Epilobium,Epilobium,willowherb
Drepanocladus,Drepanocladus,NULL
Festuca,Festuca,fescue
Hypnum,Hypnum,NULL
Lophozia,Lophozia,NULL
Juncus,Juncus,rush
Luzula,Luzula,woodrush
Erigeron,Erigeron,daisy
Calliergon,Calliergon,NULL
Huperzia,Huperzia,firmoss
Gymnomitrion,Gymnomitrion,NULL
Tortula,Tortula,NULL
Hippuris,Hippuris,mare's-tail
Ranunculus,Ranunculus,buttercup
Warnstorfia,Warnstorfia,NULL
Ochrolechia,Ochrolechia,NULL
Amblystegium,Amblystegium,NULL
Philonotis,Philonotis,NULL
Pseudephebe,Pseudephebe,NULL
Melanelia,Melanelia,NULL
Cephalozia pleniceps,Fuscocephaloziopsis pleniceps,NULL
Plagiochila porelloides,Plagiochila porelloides,NULL
Mnium,Mnium,mnium calcareous moss
Dicranella varia,Dicranella varia,NULL
Collema,Collema,NULL
Anthelia,Anthelia,NULL
Caloplaca,Caloplaca,NULL
Rhizocarpon,Rhizocarpon,NULL
Ophioparma,Ophioparma,NULL
Ditrichum,Ditrichum,NULL
Rinodina,Rinodina,NULL
Hypogymnia,Hypogymnia,NULL
Porpidia,Porpidia,NULL
Pogonia,Pogonia,NULL
Sarmenthypnum,Sarmentypnum,NULL
Sanionia,Sanionia,NULL
Kiaeria,Kiaeria,NULL
Hylocomium,Hylocomium,hylocomium feather moss
Oncophorus virens,Oncophorus virens,NULL
Loeskypnum wickesiae,Loeskypnum wickesiae,wickes' loeskypnum moss
Pohlia crudoides,Pohlia crudoides,NULL
Lophozia debiliformis,Lophozia debiliformis,NULL
Cladonia rei,Cladonia rei,NULL
Fissidens osmundioides,Fissidens osmundoides,osmund fissidens moss
Orthothecium strictum,Orthothecium strictum,NULL
Syntrichia ruralis,Syntrichia ruralis,NULL
Candelariella placodizans,Candelariella placodizans,NULL
Parmelia sulcata,Parmelia sulcata,NULL
Ptychostomum cryophilum,Ptychostomum cryophilum,NULL
Pohlia filum,Pohlia filum,NULL
Dicranum flagellare,Dicranum flagellare,dicranum moss
Pohlia cruda,Pohlia cruda,NULL
Scapania brevicaulis,Scapania brevicaulis,NULL
Stereocaulon rivulorum,Stereocaulon rivulorum,NULL
Cinclidium subrotundum,Cinclidium subrotundum,NULL
Polytrichum swartzii,Polytrichum swartzii,swartz's polytrichum moss
Pogonatum urnigerum,Pogonatum urnigerum,NULL
Orthotrichum pylaisii,Lewinskya pylaisii,pylais' orthotrichum moss
Mertensia maritima,Mertensia maritima,oysterleaf
Anastrophyllum saxicola,Sphenolobus saxicola,NULL
Scapania spitzbergensis,Scapania spitsbergensis,NULL
Potentilla nana,Potentilla nana,cinquefoil
Juncus castaneus,Juncus castaneus,chestnut rush
Physcia,Physcia,NULL
Puccinellia,Puccinellia,alkaligrass
Micranthes nivalis,Micranthes nivalis,snow saxifrage
Saxifraga cespitosa,Saxifraga cespitosa,tufted saxifrage
Draba lactea,Draba lactea,milky draba
Stereocaulon arenarium,Stereocaulon arenarium,NULL
Hymenostylium recurvirostrum,Hymenostylium recurvirostrum,NULL
Draba crassifolia,Draba crassifolia,snowbed draba
Ranunculus arcticus,Ranunculus arcticus,northern buttercup
Festuca rubra arctica,Festuca rubra arctica,red fescue
Sabulina stricta,Minuartia michauxii,bog stitchwort
Tortula hoppeana,Tortula hoppeana,NULL
Potentilla neumanniana,Potentilla verna,cinquefoil
Antennaria friesiana,Antennaria friesiana,fries' pussytoes
Micranthes tenuis,Micranthes tenuis,slender saxifrage
Potentilla pulchella,Potentilla pulchella,pretty cinquefoil
Odontoschisma macounii,Odontoschisma macounii,NULL
Tremolecia atrata,Tremolecia atrata,NULL
Acarospora glaucocarpa,Acarospora glaucocarpa,NULL
Porpidia flavicunda,Porpidia flavicunda,NULL
Amygdalaria panaeola,Amygdalaria panaeola,NULL
Bryum caespiticium,Gemmabryum caespiticium,dry calcareous bryum moss
Melanelia hepatizon,Melanelia hepatizon,NULL
Phaeophyscia sciastra,Phaeophyscia sciastra,NULL
Blasia pusilla,Blasia pusilla,NULL
Mnium hornum,Mnium hornum,horn calcareous moss
Scytinium tenuissimum,Scytinium tenuissimum,NULL
Lophozia polaris,Lophoziopsis polaris,NULL
Schistidium liliputanum,Schistidium liliputanum,NULL
Barbilophozia floerkei,Neoorthocaulis floerkei,floerke's barbilophozia
Lophozia laxa,Heterogemma laxa,NULL
Pseudocalliergon turgescens,Pseudocalliergon turgescens,NULL
Phaeophyscia kairamoi,Phaeophyscia kairamoi,NULL
Myurella tenerrima,Myurella tenerrima,NULL
Leptobryum pyriforme,Leptobryum pyriforme,NULL
Aplodon wormskioldii,Aplodon wormskioldii,NULL
Lobaria linita,Lobaria linita,NULL
Barbilophozia barbata,Barbilophozia barbata,NULL
Honckenya peploides,Honckenya peploides,seabeach sandwort
Lophozia bicrenata,Isopaches bicrenatus,NULL
Puccinellia tenella langeana,Puccinellia tenella langeana,tundra alkaligrass
Leymus mollis villosissimus,Leymus mollis villosissimus,arctic lymegrass
Cladonia phyllophora,Cladonia phyllophora,NULL
Honckenya peploides diffusa,Honckenya peploides diffusa,NULL
Psora decipiens,Psora decipiens,NULL
Cystopteris fragilis,Cystopteris fragilis,fragile fern
Japewia tornoensis,Japewia tornoensis,NULL
Umbilicaria muehlenbergii,Umbilicaria muehlenbergii,NULL
Barbilophozia quadriloba,Schljakovianthus quadrilobus,fourlobe barbilophozia
Plagiochila porelloides subarctica,Plagiochila porelloides subarctica,NULL
Lophozia wenzelii,Lophozia wenzelii,NULL
Montanelia disjuncta,Montanelia disjuncta,NULL
Peltigera lepidophora,Peltigera lepidophora,NULL
Apomarsupella revoluta,Gymnomitrion revolutum,NULL
Bryoplaca tetraspora,Bryoplaca tetraspora,NULL
Aspicilia caesiocinerea,Aspicilia caesiocinerea,NULL
Hypogymnia subobscura,Hypogymnia subobscura,NULL
Odontoschisma denudatum,Odontoschisma denudatum,NULL
Cephalozia ambigua,Cephalozia ambigua,NULL
Cephaloziella hampeana,Cephaloziella hampeana,NULL
Ranunculus nivalis,Ranunculus nivalis,snow buttercup
Meesia hexasticha,Meesia longiseta,NULL
Deschampsia cespitosa septentrionalis,Deschampsia cespitosa septentrionalis,short-leaved hairgrass
Pseudephebe pubescens,Pseudephebe pubescens,NULL
Alopecurus magellanicus,Alopecurus magellanicus,alpine foxtail
Carex simpliciuscula,Kobresia simpliciuscula,simple bog sedge
Peltigera venosa,Peltigera venosa,NULL
Polytrichastrum alpinum fragile,Polytrichastrum alpinum fragile,fragile polytrichastrum moss
Parmelia saxatilis,Parmelia saxatilis,NULL
Allantoparmelia alpicola,Allantoparmelia alpicola,NULL
Brodoa oroarctica,Brodoa oroarctica,NULL
Allantoparmelia almquistii,Allantoparmelia almquistii,NULL
Montanelia panniformis,Montanelia panniformis,NULL
Calvitimela armeniaca,Calvitimela armeniaca,NULL
Andreaea blyttii,Andreaea blyttii,blytt's andreaea moss
Lophozia savicziae,Lophozia savicziae,NULL
Tritomaria heterophylla,Pseudotritomaria heterophylla,NULL
Peltigera scabrosella,Peltigera scabrosella,NULL
Blindia acuta,Blindia acuta,acute blindia moss
Pertusaria subobducens,Pertusaria subobducens,NULL
Amphidium mougeotii,Amphidium mougeotii,mougeot's amphidium moss
Allantoparmelia,Allantoparmelia,NULL
Botrychium minganense,Botrychium minganense,mingan moonwort
Gentianella amarella acuta,Gentianella amarella acuta,autumn dwarf-gentian
Astragalus alpinus,Astragalus alpinus,alpine milk-vetch
Lepra amara,Lepra amara,NULL
Cladonia floerkeana,Cladonia floerkeana,NULL
Stereocaulon pileatum,Stereocaulon pileatum,NULL
Cladonia uncialis uncialis,Cladonia uncialis uncialis,NULL
Evernia mesomorpha,Evernia mesomorpha,NULL
Dimerella lutea,Coenogonium luteolum,NULL
Kalmia latifolia,Kalmia latifolia,mountain laurel
Empetrum nigrum hermaphroditum,Empetrum nigrum hermaphroditum,black crowberry
Rhododendron tomentosum subarcticum,Rhododendron tomentosum,northern labrador tea
Salix petiolaris,Salix petiolaris,meadow willow
Orthotrichum sordidum,Lewinskya sordida,NULL
Brachythecium rivulare,Brachythecium rivulare,NULL
Harpanthus scutatus,Harpanthus scutatus,NULL
Lophozia bantriensis,Mesoptychia bantriensis,NULL
Warnstorfia exannulata purpurascens,Sarmentypnum exannulatum,NULL
Mylia taylorii,Mylia taylorii,NULL
Timmia austriaca,Timmia austriaca,austria timmia moss
Brachythecium albicans,Brachythecium albicans,NULL
Dicranum polysetum,Dicranum polysetum,NULL
Tortella arctica,Tortella tortuosa arctica,arctic tortella moss
Thuidium recognitum,Thuidium recognitum,NULL
Calliergon orbiculare-cordatum,Calliergon orbiculare-cordatum,NULL
Tetraplodon urceolatus,Tetraplodon urceolatus,urceolate nitrogen moss
Orthotrichum alpestre,Orthotrichum alpestre,NULL
Jungermannia subelliptica,Solenostoma obovatum,NULL
Orthotrichum pallens,Orthotrichum pallens,NULL
Cinclidium latifolium,Cinclidium latifolium,wideleaf cinclidium moss
Scapania paludosa,Scapania paludosa,NULL
Parmeliopsis ambigua,Parmeliopsis ambigua,NULL
Solorina spongiosa,Solorina spongiosa,NULL
Ophioparma lapponica,Ophioparma lapponica,NULL
Marsupella sphacelata,Marsupella sphacelata,NULL
Blepharostoma trichophyllum brevirete,Blepharostoma trichophyllum brevirete,NULL
Polyblastia bryophila,Polyblastia bryophila,NULL
Megaspora verrucosa,Megaspora verrucosa,NULL
Physconia detersa,Physconia detersa,NULL
Didymodon asperifolius,Didymodon asperifolius,NULL
Timmia megapolitana bavarica,Timmia megapolitana bavarica,NULL
Scapania hyperborea,Scapania hyperborea,NULL
Lambiella impavida,Lambiella impavida,NULL
Syntrichia norvegica,Syntrichia norvegica,NULL
Schistidium trichodon,Schistidium trichodon,NULL
Porpidia melinodes,Porpidia melinodes,NULL
Umbilicaria deusta,Umbilicaria deusta,NULL
Lecidea lapicida,Lecidea lapicida,NULL
Stereocaulon symphycheilum,Stereocaulon symphycheilum,NULL
Myriolecis zosterae,Myriolecis zosterae,NULL
Plagiomnium medium,Plagiomnium medium,medium plagiomnium moss
Sphagnum quinquefarium,Sphagnum quinquefarium,NULL
Sphagnum lenense,Sphagnum lenense,NULL
Aulacomnium,Aulacomnium,NULL
Plagiomnium,Plagiomnium,NULL
Scytinium palmatum,Scytinium palmatum,NULL
Ophioparma ventosa,Ophioparma ventosa,NULL
Parmelia,Parmelia,NULL
